manufactor,Year,model,Hand,Gear,Engine_capacity,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test
קרייזלר,2010,"גראנד, וויאג'ר",5,אוטומטית,3800,בנזין,פרטית,פרטית,ירושלים והסביבה,ירושלים,25000.0,6,2023-11-22,2023-11-27,"רכב מפואר נוח ומפנק בגאז גדול במיוחד דלתות חשמליות מושבים קדמיים מתכווננים חשמלית + חימום בכסאות 
תוספות
				מערכת גפ""מ 2 מיכלים של 30 ל' סה""כ 60 ליטר
			",כסוף מטאלי,180000,
קרייזלר,2012,"גראנד, וויאג'ר",3,אוטומטית,3600,בנזין,פרטית,פרטית,נתניה והסביבה,נתניה,41000.0,8,2023-10-01,2023-10-01,"שמור ומטופל במורשה מצבר חדש ספטמבר 2023
מולטימדיה אנדרואיד
לרציניים בלבד טסט עד סוף 03/24 עדיף לפנות בוואטסאפ. לא בשבת! 
תוספות
				דגם - GRAND VOYAGER רמת גימור - TOURING K סוג דלק - בנזין הנעה - 4X2 נפח - 3604 מספר דלתות - 5 2 חשמליות טכנולוגית הנעה - הנעה רגילה מספר מושבים - 7
			",אפור,162000,
קרייזלר,2012,"גראנד, וויאג'ר",3,אוטומטית,3600,בנזין,פרטית,פרטית,קריות,קרית ביאליק,44000.0,1,2023-08-30,2023-08-30,רכב משפחתי.דגם מפואר כיסעות עור מתקפלים לתוך הריצפה.דגם k.מתופלת היתב.צמיגים חדשים.צבע קללי.טסט לחצי שנה,שחור,282,
קרייזלר,2009,סברינג,2,אוטומטית,2700,בנזין,פרטית,פרטית,ירושלים והסביבה,ביתר עילית,15000.0,6,2023-05-15,2023-05-15,רכב פצצה! מחיר מחירון 25000 מוכר ב15000 בגלל צורך דחוף בכסף,שחור,160000,
קרייזלר,2009,"גראנד, וויאג`ר",3,אוטומטית,3300,בנזין,,,nan,אבו סנאן,38000.0,1,2022-10-01,2022-10-01,,nan,88000,
קרייזלר,2012,"גראנד, וויאג`ר",2,אוטומטית,3604,בנזין,,,גליל ועמקים,נצרת,52000.0,1,2022-09-15,2022-09-15,,nan,162000,
קרייזלר,2008,"גראנד, וויאג`ר",1,אוטומטית,3,בנזין,,,ירושלים והסביבה,ירושלים,7000.0,1,2022-08-25,2022-08-25,"צריך רישיון רכב חוב 3500 ש""ח וגם האירבג על העגה צריך להחליף ויש לנו את זה ותיקונים קטנים as is",nan,,
קרייזלר,2017,"גראנד, וויאג`ר",1,אוטומטית,3604,בנזין,,,תל אביב,תל אביב יפו,112200.0,1,2022-08-19,2022-08-19,"

רכב נכה מדגם קרייזלר קנדה יד ראשונה, שמור היטב במצב מעולה. טסט עד מרץ 2023 כולל מנגון יד חשמלי, מגן לדוושות המאיץ, הגה חשמלי, תפוח גלגל הגה חשמלי, הנמכת רצפה ומעלון ונעילה לכיסא גלגלים. ",nan,15593,
קרייזלר,2010,וויאג`ר,2,אוטומטית,3800,בנזין,,,נתניה והסביבה,נתניה,45000.0,1,2022-07-29,2022-07-29,"רכב נוח ומפנק, דלתות חשמליות עם מערכת גז חסכונית שאינה תופסת מקום בבאגאז &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; די. וי. די
מערכת גז",nan,172000,
קרייזלר,2007,300C,4,אוטומטית,3600,בנזין,,,"ראשל""צ והסביבה",ראשון לציון,58000.0,1,2022-07-22,2022-07-22,קרייזלר c 300 2007 רכב מפוצץ תוספות ג'אנט 20 קיט של רולס רויס בנוי כמו רולבס .מצלמת רוורס מערכת + די וי די . סלון מעור. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; דמוי רולס רויס ,nan,240000,
קרייזלר,2011,"גראנד, וויאג`ר",3,אוטומטית,3800,בנזין,,,אשדוד - אשקלון,אשדוד,5000.0,1,2022-06-14,2022-06-14,"רכב משפחתי נוח. מערכת גז. 7 מקומות. 
הרכב עבר שיפוץ גיר משמעותי. החלפת כוהל ופלאגים. 
דרוש החלפה של הממיר ותיקון שסתום במנוע",nan,350000,
קרייזלר,2006,"טאון, קאנטרי",3,אוטומטית,3800,בנזין,פרטית,פרטית,פרדס חנה - כרכור,פרדס חנה כרכור,18000.0,4,2022-05-23,2022-05-23,"שמור ומטופל דלתות צד חשמליות 
3 מסכים ",אפור,260,
קרייזלר,2007,"PT, קרוזר",3,אוטומטית,2400,בנזין,,,רעננה - כפר סבא,כפר סבא,12000.0,1,2022-04-17,2022-04-17,"למכירה בהזדמנות קרייזלר pt cruiser בצבע כסף דגם מפואר שנת 2007 שכולל בין היתר:
סאן רוף
חימום מושבים
באגז׳ עם מדף מודולרי (יכול לשמש גם כעמדת החתלה)
חיבור חשמלי (מצת) גם בתא הנוסעים וגם בבאגז׳
מזגן משגע
מצלמת רוורס
4 חלונות חשמל
נעילה אוטומטית + אזעקה
טסט לשנה (עד מרץ 2023)
הרכב מוצע למכירה לאור קבלת רכב מהעבודה
מחירון 13,300₪ 
מחיר מבוקש 12,500₪ גמיש…
קילומטראז׳ 130,304
נפח מנוע 2,429 סמ״ק
143 כ״ס",nan,130304,
קרייזלר,2016,"גראנד, וויאג'ר",1,אוטומטית,3600,בנזין,ממשלתי,פרטית,באר שבע והסביבה,באר שבע,95000.0,0,2022-07-27,2022-07-27,"רכב מותאם לנכים, עם מעלון. נהג יחיד, 60.000 ק""מ סה""כ, ללא תאונות 
תוספות
				טלוויזיה, מערכת מולטימדיה משוכללת, צמיגים חדשים
			",אפור מטאלי,60000,
קרייזלר,2007,וויאג`ר,2,אוטומטית,3000,בנזין,,,חדרה וישובי עמק חפר,חדרה,10000.0,0,2022-07-01,2022-07-01,בגילו. נוסע מצויין. מזגן צריך לתקן,nan,120000,
